goal,pledged,state,country,currency,deadline,launched_at,staff_pick,backers_count,spotlight,percent_funded,Average_Donation,Category_and_Sub_Category,Category,Sub_Category,Data_Created_Conversion,Data_Ended_Conversion
8500,11633,successful,US,USD,1437620400,1434931811,FALSE,182,TRUE,136.8588235,63.91758242,film & video/television,film & video,television,42176.79874,42207.91667
10275,14653,successful,US,USD,1488464683,1485872683,FALSE,79,TRUE,142.6082725,185.4810127,film & video/television,film & video,television,42766.39216,42796.39216
500,525,successful,GB,GBP,1455555083,1454691083,FALSE,35,TRUE,105,15,film & video/television,film & video,television,42405.49402,42415.49402
10000,10390,successful,US,USD,1407414107,1404822107,FALSE,150,TRUE,103.9,69.26666667,film & video/television,film & video,television,41828.30679,41858.30679
44000,54116.28,successful,US,USD,1450555279,1447963279,FALSE,284,TRUE,122.9915455,190.5502817,film & video/television,film & video,television,42327.62591,42357.62591
3999,4390,successful,US,USD,1469770500,1468362207,FALSE,47,TRUE,109.7774444,93.40425532,film & video/television,film & video,television,42563.72462,42580.02431
8000,8519,successful,US,USD,1402710250,1401846250,FALSE,58,TRUE,106.4875,146.8793103,film & video/television,film & video,television,41793.864,41803.864
9000,9110,successful,US,USD,1467680867,1464224867,FALSE,57,TRUE,101.2222222,159.8245614,film & video/television,film & video,television,42515.83874,42555.83874
3500,3501.52,successful,US,USD,1460754000,1460155212,FALSE,12,TRUE,100.0434286,291.7933333,film & video/television,film & video,television,42468.73625,42475.66667
500,629.99,successful,US,USD,1460860144,1458268144,FALSE,20,TRUE,125.998,31.4995,film & video/television,film & video,television,42446.89519,42476.89519
3000,3015,successful,US,USD,1403660279,1400636279,FALSE,19,TRUE,100.5,158.6842105,film & video/television,film & video,television,41779.85971,41814.85971
5000,6025,successful,US,USD,1471834800,1469126462,FALSE,75,TRUE,120.5,80.33333333,film & video/television,film & video,television,42572.57016,42603.91667
30000,49588,successful,US,USD,1405479600,1401642425,FALSE,827,TRUE,165.2933333,59.96130593,film & video/television,film & video,television,41791.50492,41835.91667
3500,5599,successful,US,USD,1466713620,1463588109,FALSE,51,TRUE,159.9714286,109.7843137,film & video/television,film & video,television,42508.46885,42544.64375
6000,6056,successful,AU,AUD,1405259940,1403051888,FALSE,41,TRUE,100.9333333,147.7073171,film & video/television,film & video,television,41807.81815,41833.37431
2000,2132,successful,ES,EUR,1443384840,1441790658,FALSE,98,TRUE,106.6,21.75510204,film & video/television,film & video,television,42256.18354,42274.63472
12000,12029,successful,US,USD,1402896600,1398971211,FALSE,70,TRUE,100.2416667,171.8428571,film & video/television,film & video,television,41760.58809,41806.02083
1500,1510,successful,GB,GBP,1415126022,1412530422,FALSE,36,TRUE,100.6666667,41.94444444,film & video/television,film & video,television,41917.5234,41947.56507
30000,31896.33,successful,US,USD,1410958856,1408366856,FALSE,342,TRUE,106.3211,93.26412281,film & video/television,film & video,television,41869.33398,41899.33398
850,1235,successful,US,USD,1437420934,1434828934,FALSE,22,TRUE,145.2941176,56.13636364,film & video/television,film & video,television,42175.60803,42205.60803
2000,2004,successful,US,USD,1442167912,1436983912,FALSE,25,TRUE,100.2,80.16,film & video/television,film & video,television,42200.54991,42260.54991
18500,20190,successful,US,USD,1411743789,1409151789,FALSE,101,TRUE,109.1351351,199.9009901,film & video/television,film & video,television,41878.41885,41908.41885
350,410,successful,US,USD,1420099140,1418766740,FALSE,8,TRUE,117.1428571,51.25,film & video/television,film & video,television,41989.70301,42005.12431
2000,2370,successful,US,USD,1430407200,1428086501,FALSE,23,TRUE,118.5,103.0434783,film & video/television,film & video,television,42097.57061,42124.43056
35000,38082.69,successful,US,USD,1442345940,1439494863,FALSE,574,TRUE,108.8076857,66.34614983,film & video/television,film & video,television,42229.61184,42262.61042
