,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,mataura,82,NZ,1562872459,89,-46.19,168.86,279.82,2.24
1,petropavlovsk-kamchatskiy,90,RU,1562872459,100,53.05,158.65,284.15,1.0
2,pimentel,19,BR,1562872460,50,-3.7,-45.5,304.387,2.69
3,susehri,12,TR,1562872460,95,40.16,38.09,284.987,7.67
4,apomu,75,NG,1562872460,88,6.85,3.21,298.15,4.6
5,puerto ayora,20,EC,1562872315,65,-0.74,-90.35,299.15,8.2
6,ushuaia,75,AR,1562872461,93,-54.81,-68.31,276.15,8.2
7,ancud,75,CL,1562872461,93,-41.87,-73.83,282.15,6.2
8,ponta delgada,20,PT,1562872462,69,37.73,-25.67,297.15,4.6
9,glinka,100,RU,1562872462,77,54.64,32.87,283.987,2.13
10,henties bay,0,NA,1562872462,92,-22.12,14.28,285.93,2.68
11,okato,41,NZ,1562872463,90,-39.19,173.88,285.37,0.89
12,hermanus,69,ZA,1562872463,90,-34.42,19.24,287.59,6.01
13,kilindoni,17,TZ,1562872464,78,-7.91,39.67,298.887,8.92
14,longyearbyen,75,NO,1562872464,75,78.22,15.63,281.15,3.1
15,candelaria,0,PH,1562872464,94,13.93,121.42,296.287,0.69
16,castro,75,CL,1562872465,93,-42.48,-73.76,282.15,6.2
17,bandarbeyla,58,SO,1562872465,65,9.49,50.81,299.887,11.94
18,albany,90,US,1562872239,100,42.65,-73.75,302.04,2.1
19,cukai,21,MY,1562872284,94,4.25,103.42,298.15,1.5
20,sturgis,0,CA,1562872466,72,51.94,-102.54,295.687,6.34
21,kapaa,40,US,1562872306,74,22.08,-159.32,301.15,6.2
22,kruisfontein,0,ZA,1562872467,83,-34.0,24.73,285.787,5.68
23,atuona,59,PF,1562872468,78,-9.8,-139.03,300.287,9.29
24,peabiru,0,BR,1562872469,34,-23.91,-52.35,300.15,3.1
25,bethel,75,US,1562872435,88,60.79,-161.76,292.15,2.1
26,troyes,0,FR,1562872469,44,48.3,4.07,300.15,1.5
27,mahebourg,20,MU,1562872469,82,-20.41,57.7,293.15,3.1
28,gambissara,99,SN,1562872470,51,13.24,-14.31,305.187,0.57
29,rikitea,69,PF,1562872470,82,-23.12,-134.97,296.287,7.72
30,mayumba,49,GA,1562872470,92,-3.44,10.65,295.887,4.9
31,avera,40,US,1562872471,49,33.19,-82.53,307.15,4.6
